entity_id,age_band,city_tier,employment_type,household_size,cost_of_living_index
U000,18-25,Tier 1,Business,3,0.9714242976624334
U001,50+,Tier 2,Self-Employed,4,1.3990412014430946
U002,26-35,Tier 1,Salaried,2,1.0562770846006697
U003,36-50,Tier 2,Business,3,1.3383724869832319
U004,36-50,Tier 2,Salaried,3,1.199653715952056
U005,26-35,Tier 3,Business,2,1.2630474428943366
U006,50+,Tier 2,Self-Employed,1,1.2537769386324962
U007,50+,Tier 1,Salaried,3,1.0037393048754928
U008,18-25,Tier 2,Business,1,1.3944026977674118
U009,36-50,Tier 1,Salaried,4,1.374505834202588
U010,26-35,Tier 1,Self-Employed,3,1.1335993361232006
U011,26-35,Tier 1,Business,3,1.384978272021301
U012,18-25,Tier 3,Business,2,1.4416812483048116
U013,50+,Tier 3,Salaried,5,1.0573412354939753
U014,36-50,Tier 2,Self-Employed,1,1.3923829663617395
U015,26-35,Tier 3,Business,4,1.4455651971678494
U016,18-25,Tier 1,Salaried,2,1.4656948832966403
U017,50+,Tier 3,Business,2,1.1442417251852928
U018,36-50,Tier 1,Salaried,5,1.2824051655810778
U019,36-50,Tier 2,Salaried,3,1.2662787265626951
U020,18-25,Tier 2,Salaried,4,1.092766270062426
U021,18-25,Tier 2,Self-Employed,5,1.1661355413834298
U022,18-25,Tier 2,Salaried,4,0.9870537561885592
U023,50+,Tier 1,Business,1,0.9759242717413112
U024,18-25,Tier 2,Salaried,5,1.2886525097398118
U025,26-35,Tier 1,Self-Employed,3,1.4952136047868814
U026,36-50,Tier 2,Salaried,1,1.109736004322546
U027,26-35,Tier 1,Salaried,4,1.1791559071760143
U028,26-35,Tier 2,Business,3,1.1753551906198476
U029,36-50,Tier 1,Salaried,2,1.3555741518893993
U030,50+,Tier 3,Salaried,4,1.0689085620485297
U031,36-50,Tier 1,Business,5,1.3885144785522006
U032,50+,Tier 2,Business,4,1.2866655765121873
U033,18-25,Tier 3,Salaried,5,1.419017947724145
U034,18-25,Tier 1,Self-Employed,2,1.0056705055283204
U035,26-35,Tier 1,Self-Employed,4,1.0512131243034142
U036,36-50,Tier 1,Self-Employed,5,0.9313045373992707
U037,18-25,Tier 2,Business,5,1.1015435195998464
U038,50+,Tier 3,Business,1,1.2093845103790626
U039,50+,Tier 3,Salaried,5,1.400067542283466
U040,50+,Tier 2,Business,2,0.8347476078192809
U041,18-25,Tier 1,Business,3,1.0636640982496097
U042,36-50,Tier 2,Self-Employed,5,1.3184032222899091
U043,36-50,Tier 2,Salaried,4,0.8403220589866088
U044,50+,Tier 3,Business,2,1.2979013763474507
U045,50+,Tier 3,Salaried,4,1.4653859161614036
U046,36-50,Tier 3,Self-Employed,4,1.173230057969332
U047,36-50,Tier 2,Salaried,5,1.0438677111913983
U048,26-35,Tier 2,Salaried,5,0.9316878727775489
U049,36-50,Tier 1,Salaried,5,0.8575416889095919
U050,50+,Tier 1,Self-Employed,5,1.3068322604391112
U051,50+,Tier 1,Self-Employed,1,0.9855177973325471
U052,36-50,Tier 3,Salaried,1,1.1969654291662053
U053,26-35,Tier 1,Self-Employed,3,1.0623733896788479
U054,26-35,Tier 3,Self-Employed,2,0.8340090365575972
U055,36-50,Tier 2,Salaried,5,1.3193450738517676
U056,26-35,Tier 2,Business,5,1.154315226326129
U057,18-25,Tier 1,Business,3,1.3111644092413357
U058,50+,Tier 1,Self-Employed,2,0.9990068229779394
U059,26-35,Tier 2,Business,2,1.2409727730620508
U060,36-50,Tier 1,Self-Employed,1,1.1951066374049
U061,18-25,Tier 1,Self-Employed,1,0.9778962679404437
U062,18-25,Tier 1,Self-Employed,3,1.2581464589537248
U063,18-25,Tier 2,Business,1,1.4673771118955958
U064,50+,Tier 3,Self-Employed,3,1.34238433438342
U065,18-25,Tier 2,Business,1,1.4227937435042608
U066,18-25,Tier 3,Business,2,1.4919768185461435
U067,18-25,Tier 2,Business,5,1.2402192089154305
U068,18-25,Tier 1,Self-Employed,2,1.1551861166721784
U069,36-50,Tier 2,Salaried,3,0.8441219457100005
U070,26-35,Tier 2,Business,1,1.0580925439928865
U071,50+,Tier 1,Self-Employed,2,0.9232379787399615
U072,18-25,Tier 3,Self-Employed,4,1.285531926223816
U073,36-50,Tier 1,Salaried,3,0.9167139390407952
U074,36-50,Tier 2,Salaried,4,0.9749058083520418
U075,18-25,Tier 3,Business,2,0.9156235676922512
U076,26-35,Tier 3,Salaried,5,0.8144655336494213
U077,36-50,Tier 1,Business,3,1.3841944823257397
U078,50+,Tier 2,Self-Employed,3,0.9588825039732323
U079,36-50,Tier 1,Salaried,3,1.3987485865404987
U080,50+,Tier 1,Business,2,1.001731846598743
U081,36-50,Tier 2,Self-Employed,5,0.9998823920823872
U082,18-25,Tier 1,Business,5,1.3381741235418954
U083,50+,Tier 1,Business,2,1.1842558836660815
U084,18-25,Tier 1,Self-Employed,5,1.4914046657900564
U085,50+,Tier 2,Business,5,0.9533561399821318
U086,50+,Tier 1,Salaried,2,1.3145177953582556
U087,18-25,Tier 2,Self-Employed,5,1.4577591616238572
U088,26-35,Tier 2,Business,3,1.1446386095836716
U089,36-50,Tier 1,Self-Employed,5,1.3268396682822203
U090,26-35,Tier 1,Self-Employed,2,0.9084979431810414
U091,18-25,Tier 1,Salaried,4,1.222342895913404
U092,36-50,Tier 3,Self-Employed,2,1.4313473345680148
U093,26-35,Tier 1,Business,1,1.3577959134026756
U094,18-25,Tier 3,Self-Employed,3,1.1606499288388838
U095,26-35,Tier 2,Business,2,0.8292196108473746
U096,26-35,Tier 3,Salaried,5,1.3767964368111452
U097,18-25,Tier 1,Self-Employed,4,1.4496919553108953
