month,commodity,state,district,unit,min_price,max_price,modal_price
2023-08,Maize,Maharashtra,Nashik,Quintal,1806.0,2298.0,2052.0
2023-08,Maize,Maharashtra,Pune,Quintal,1893.0,2409.0,2151.0
2023-08,Maize,Maharashtra,Ahmednagar,Quintal,1895.0,2411.0,2153.0
2023-08,Maize,Maharashtra,Jalgaon,Quintal,1974.0,2512.0,2243.0
2023-08,Soybean,Maharashtra,Nashik,Quintal,3791.0,4825.0,4308.0
2023-08,Soybean,Maharashtra,Pune,Quintal,3868.0,4924.0,4396.0
2023-08,Soybean,Maharashtra,Ahmednagar,Quintal,4113.0,5235.0,4674.0
2023-08,Soybean,Maharashtra,Jalgaon,Quintal,4085.0,5199.0,4642.0
2023-08,Onion,Maharashtra,Nashik,Quintal,1764.0,2244.0,2004.0
2023-08,Onion,Maharashtra,Pune,Quintal,1614.0,2054.0,1834.0
2023-08,Onion,Maharashtra,Ahmednagar,Quintal,1730.0,2202.0,1966.0
2023-08,Onion,Maharashtra,Jalgaon,Quintal,1754.0,2232.0,1993.0
2023-08,Tomato,Maharashtra,Nashik,Quintal,1519.0,1933.0,1726.0
2023-08,Tomato,Maharashtra,Pune,Quintal,1389.0,1767.0,1578.0
2023-08,Tomato,Maharashtra,Ahmednagar,Quintal,1114.0,1418.0,1266.0
2023-08,Tomato,Maharashtra,Jalgaon,Quintal,1411.0,1795.0,1603.0
2023-08,Wheat,Maharashtra,Nashik,Quintal,1940.0,2468.0,2204.0
2023-08,Wheat,Maharashtra,Pune,Quintal,2053.0,2613.0,2333.0
2023-08,Wheat,Maharashtra,Ahmednagar,Quintal,1994.0,2538.0,2266.0
2023-08,Wheat,Maharashtra,Jalgaon,Quintal,2052.0,2612.0,2332.0
2023-08,Fodder,Maharashtra,Nashik,Quintal,313.0,399.0,356.0
2023-08,Fodder,Maharashtra,Pune,Quintal,313.0,399.0,356.0
2023-08,Fodder,Maharashtra,Ahmednagar,Quintal,299.0,381.0,340.0
2023-08,Fodder,Maharashtra,Jalgaon,Quintal,300.0,382.0,341.0
2023-08,Poultry,Maharashtra,Nashik,Kg,90.0,114.0,102.0
2023-08,Poultry,Maharashtra,Pune,Kg,90.0,114.0,102.0
2023-08,Poultry,Maharashtra,Ahmednagar,Kg,88.0,112.0,100.0
2023-08,Poultry,Maharashtra,Jalgaon,Kg,91.0,115.0,103.0
2023-08,MilkCow,Maharashtra,Nashik,Litre,33.0,43.0,38.0
2023-08,MilkCow,Maharashtra,Pune,Litre,33.0,41.0,37.0
2023-08,MilkCow,Maharashtra,Ahmednagar,Litre,33.0,43.0,38.0
2023-08,MilkCow,Maharashtra,Jalgaon,Litre,33.0,43.0,38.0
2023-09,Maize,Maharashtra,Nashik,Quintal,1849.0,2353.0,2101.0
2023-09,Maize,Maharashtra,Pune,Quintal,1886.0,2400.0,2143.0
2023-09,Maize,Maharashtra,Ahmednagar,Quintal,1982.0,2522.0,2252.0
2023-09,Maize,Maharashtra,Jalgaon,Quintal,1942.0,2472.0,2207.0
2023-09,Soybean,Maharashtra,Nashik,Quintal,4106.0,5226.0,4666.0
2023-09,Soybean,Maharashtra,Pune,Quintal,3748.0,4770.0,4259.0
2023-09,Soybean,Maharashtra,Ahmednagar,Quintal,4193.0,5337.0,4765.0
2023-09,Soybean,Maharashtra,Jalgaon,Quintal,3968.0,5050.0,4509.0
2023-09,Onion,Maharashtra,Nashik,Quintal,1537.0,1957.0,1747.0
2023-09,Onion,Maharashtra,Pune,Quintal,1523.0,1939.0,1731.0
2023-09,Onion,Maharashtra,Ahmednagar,Quintal,1641.0,2089.0,1865.0
2023-09,Onion,Maharashtra,Jalgaon,Quintal,1586.0,2018.0,1802.0
2023-09,Tomato,Maharashtra,Nashik,Quintal,1018.0,1296.0,1157.0
